"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
736,"2019-02-01 06:31:12.0470","2019-02-01 06:43:28.1870",98,"Warren St at Chelsea St",42.371848,-71.060292,157,"Seaport Blvd at Sleeper St",42.35317809186252,-71.04817356923377,4122,"Subscriber",1987,1
796,"2019-02-01 06:33:26.8190","2019-02-01 06:46:43.1770",14,"HMS/HSPH - Avenue Louis Pasteur at Longwood Ave",42.3374174845973,-71.10286116600037,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,2112,"Subscriber",1992,2
1633,"2019-02-01 06:35:11.9360","2019-02-01 07:02:25.7300",78,"Union Square - Somerville",42.379595255143805,-71.09530799109052,200,"Washington St at Melnea Cass Blvd",42.332817,-71.081198,3470,"Subscriber",1980,2
438,"2019-02-01 06:35:44.6950","2019-02-01 06:43:03.0750",225,"Cambridge Dept. of Public Works -147 Hampshire St.",42.37119727759414,-71.09759867191315,189,"Kendall T",42.362427842912396,-71.08495473861694,3117,"Subscriber",1988,2
872,"2019-02-01 06:38:17.3250","2019-02-01 06:52:49.9880",6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,4467,"Subscriber",1993,1
670,"2019-02-01 06:39:07.9060","2019-02-01 06:50:17.9830",131,"Jackson Square T Stop",42.32293117195949,-71.10014140605927,159,"S Huntington Ave at Heath St",42.32760387040573,-71.11089169979095,3793,"Subscriber",1984,2
558,"2019-02-01 06:39:14.9350","2019-02-01 06:48:33.0570",356,"Charlestown Navy Yard",42.374124549426526,-71.05481199938367,23,"Boston City Hall - 28 State St",42.35892,-71.057629,3211,"Subscriber",1976,1
6950,"2019-02-01 06:41:46.8760","2019-02-01 08:37:37.6790",6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.351586001198456,-71.04569256305693,4005,"Customer",1970,1
686,"2019-02-01 06:42:53.9310","2019-02-01 06:54:20.1810",377,"Perry Park",42.37927324600841,-71.10341902831351,117,"Binney St / Sixth St",42.36616223459919,-71.08688293667001,3361,"Customer",1983,1
339,"2019-02-01 06:42:56.0370","2019-02-01 06:48:35.7400",43,"Rowes Wharf at Atlantic Ave",42.357143,-71.050699,206,"Government Center - Cambridge St at Court St",42.359802515995526,-71.05960782626425,4173,"Subscriber",1970,1
